Acacia Boat, acacia_boat
Mud Brick Wall, mud_brick_wall
Mud Bricks, mud_bricks
Muddy Mangrove Roots, muddy_mangrove_roots
Mule Spawn Egg, mule_spawn_egg
Mushroom Stem, mushroom_stem
Mushroom Stew, mushroom_stew
Music Disc 11, music_disc_11
Music Disc 13, music_disc_13
Music Disc 5, music_disc_5
Music Disc Blocks, music_disc_blocks
Music Disc Cat, music_disc_cat
Music Disc Chirp, music_disc_chirp
Music Disc Creator, music_disc_creator
Music Disc Creator Music Box, music_disc_creator_music_box
Music Disc Far, music_disc_far
Music Disc Lava Chicken, music_disc_lava_chicken
Music Disc Mall, music_disc_mall
Music Disc Mellohi, music_disc_mellohi
Music Disc Otherside, music_disc_otherside
Music Disc Pigstep, music_disc_pigstep
Music Disc Precipice, music_disc_precipice
Music Disc Relic, music_disc_relic
Music Disc Stal, music_disc_stal
Music Disc Strad, music_disc_strad
Music Disc Tears, music_disc_tears
Music Disc Wait, music_disc_wait
Music Disc Ward, music_disc_ward
Mutton, mutton
Mycelium, mycelium
Name Tag, name_tag
Nautilus Shell, nautilus_shell
Nether Brick, nether_brick
Nether Brick Fence, nether_brick_fence
Nether Brick Slab, nether_brick_slab
Nether Brick Stairs, nether_brick_stairs
Nether Brick Wall, nether_brick_wall
Nether Bricks, nether_bricks
Nether Gold Ore, nether_gold_ore
Nether Quartz Ore, nether_quartz_ore
Nether Sprouts, nether_sprouts
Nether Star, nether_star
Nether Wart, nether_wart
Nether Wart Block, nether_wart_block
Netherite Axe, netherite_axe
Netherite Block, netherite_block
Netherite Boots, netherite_boots
Netherite Chestplate, netherite_chestplate
Netherite Helmet, netherite_helmet
Netherite Hoe, netherite_hoe
Netherite Ingot, netherite_ingot
Netherite Leggings, netherite_leggings
Netherite Pickaxe, netherite_pickaxe
Netherite Scrap, netherite_scrap
Netherite Shovel, netherite_shovel
Netherite Sword, netherite_sword
Netherite Upgrade Smithing Template, netherite_upgrade_smithing_template
Netherrack, netherrack
Note Block, note_block
Oak Boat, oak_boat
Oak Button, oak_button
Oak Chest Boat, oak_chest_boat
Oak Door, oak_door
Oak Fence, oak_fence
Oak Fence Gate, oak_fence_gate
Oak Hanging Sign, oak_hanging_sign
Oak Leaves, oak_leaves
Oak Log, oak_log
Oak Planks, oak_planks
Oak Pressure Plate, oak_pressure_plate
Oak Sapling, oak_sapling
Oak Shelf, oak_shelf
Oak Sign, oak_sign
Oak Slab, oak_slab
Oak Stairs, oak_stairs
Oak Trapdoor, oak_trapdoor
Oak Wood, oak_wood
Observer, observer
Obsidian, obsidian
Ocelot Spawn Egg, ocelot_spawn_egg
Ochre Froglight, ochre_froglight
Ominous Bottle, ominous_bottle
Ominous Trial Key, ominous_trial_key
Open Eyeblossom, open_eyeblossom
Orange Banner, orange_banner
Orange Bed, orange_bed
Orange Bundle, orange_bundle
Orange Candle, orange_candle
Orange Carpet, orange_carpet
Orange Concrete, orange_concrete
Orange Concrete Powder, orange_concrete_powder
Orange Dye, orange_dye
Orange Glazed Terracotta, orange_glazed_terracotta
Orange Harness, orange_harness
Orange Shulker Box, orange_shulker_box
Orange Stained Glass, orange_stained_glass
Orange Stained Glass Pane, orange_stained_glass_pane
Orange Terracotta, orange_terracotta
Orange Tulip, orange_tulip
Orange Wool, orange_wool
Oxeye Daisy, oxeye_daisy
Oxidized Chiseled Copper, oxidized_chiseled_copper
Oxidized Copper, oxidized_copper
Oxidized Copper Bars, oxidized_copper_bars
Oxidized Copper Bulb, oxidized_copper_bulb
Oxidized Copper Chain, oxidized_copper_chain
Oxidized Copper Chest, oxidized_copper_chest
Oxidized Copper Door, oxidized_copper_door
Oxidized Copper Golem Statue, oxidized_copper_golem_statue
Oxidized Copper Grate, oxidized_copper_grate
Oxidized Copper Lantern, oxidized_copper_lantern
Oxidized Copper Trapdoor, oxidized_copper_trapdoor
Oxidized Cut Copper, oxidized_cut_copper
Oxidized Cut Copper Slab, oxidized_cut_copper_slab
Oxidized Cut Copper Stairs, oxidized_cut_copper_stairs
Oxidized Lightning Rod, oxidized_lightning_rod
Packed Ice, packed_ice
Packed Mud, packed_mud
Painting, painting
Pale Hanging Moss, pale_hanging_moss
Pale Moss Block, pale_moss_block
Pale Moss Carpet, pale_moss_carpet
Pale Oak Boat, pale_oak_boat
Pale Oak Button, pale_oak_button
Pale Oak Chest Boat, pale_oak_chest_boat
Pale Oak Door, pale_oak_door
Pale Oak Fence, pale_oak_fence
Pale Oak Fence Gate, pale_oak_fence_gate
Pale Oak Hanging Sign, pale_oak_hanging_sign
Pale Oak Leaves, pale_oak_leaves
Pale Oak Log, pale_oak_log
Pale Oak Planks, pale_oak_planks
Pale Oak Pressure Plate, pale_oak_pressure_plate
Pale Oak Sapling, pale_oak_sapling
Pale Oak Shelf, pale_oak_shelf
Pale Oak Sign, pale_oak_sign
Pale Oak Slab, pale_oak_slab
Pale Oak Stairs, pale_oak_stairs
Pale Oak Trapdoor, pale_oak_trapdoor
Pale Oak Wood, pale_oak_wood
Panda Spawn Egg, panda_spawn_egg
Paper, paper
Parrot Spawn Egg, parrot_spawn_egg
Pearlescent Froglight, pearlescent_froglight
Peony, peony
Petrified Oak Slab, petrified_oak_slab
Phantom Membrane, phantom_membrane
Phantom Spawn Egg, phantom_spawn_egg
Pig Spawn Egg, pig_spawn_egg
Piglin Banner Pattern, piglin_banner_pattern
Piglin Brute Spawn Egg, piglin_brute_spawn_egg
Piglin Head, piglin_head
Piglin Spawn Egg, piglin_spawn_egg
Pillager Spawn Egg, pillager_spawn_egg
Pink Banner, pink_banner
Pink Bed, pink_bed
Pink Bundle, pink_bundle
Pink Candle, pink_candle
Pink Carpet, pink_carpet
Pink Concrete, pink_concrete
Pink Concrete Powder, pink_concrete_powder
Pink Dye, pink_dye
Pink Glazed Terracotta, pink_glazed_terracotta
Pink Harness, pink_harness
Pink Petals, pink_petals
Pink Shulker Box, pink_shulker_box
Pink Stained Glass, pink_stained_glass
Pink Stained Glass Pane, pink_stained_glass_pane
Pink Terracotta, pink_terracotta
Pink Tulip, pink_tulip
Pink Wool, pink_wool
Piston, piston
Pitcher Plant, pitcher_plant
Pitcher Pod, pitcher_pod
Player Head, player_head
Plenty Pottery Sherd, plenty_pottery_sherd
Podzol, podzol
Pointed Dripstone, pointed_dripstone
Poisonous Potato, poisonous_potato
Polar Bear Spawn Egg, polar_bear_spawn_egg
Polished Andesite, polished_andesite
Polished Andesite Slab, polished_andesite_slab
Polished Andesite Stairs, polished_andesite_stairs
Polished Basalt, polished_basalt
Polished Blackstone, polished_blackstone
Polished Blackstone Brick Slab, polished_blackstone_brick_slab
Polished Blackstone Brick Stairs, polished_blackstone_brick_stairs
Polished Blackstone Brick Wall, polished_blackstone_brick_wall
Polished Blackstone Bricks, polished_blackstone_bricks
Polished Blackstone Button, polished_blackstone_button
Polished Blackstone Pressure Plate, polished_blackstone_pressure_plate
Polished Blackstone Slab, polished_blackstone_slab
Polished Blackstone Stairs, polished_blackstone_stairs
Polished Blackstone Wall, polished_blackstone_wall
Polished Deepslate, polished_deepslate
Polished Deepslate Slab, polished_deepslate_slab
Polished Deepslate Stairs, polished_deepslate_stairs
Polished Deepslate Wall, polished_deepslate_wall
Polished Diorite, polished_diorite
Polished Diorite Slab, polished_diorite_slab
Polished Diorite Stairs, polished_diorite_stairs
Polished Granite, polished_granite
Polished Granite Slab, polished_granite_slab
Polished Granite Stairs, polished_granite_stairs
Polished Tuff, polished_tuff
Polished Tuff Slab, polished_tuff_slab
Polished Tuff Stairs, polished_tuff_stairs
Polished Tuff Wall, polished_tuff_wall
Popped Chorus Fruit, popped_chorus_fruit
Poppy, poppy
Porkchop, porkchop
Potato, potato
Potion, potion
Powder Snow Bucket, powder_snow_bucket
Powered Rail, powered_rail
Prismarine, prismarine
Prismarine Brick Slab, prismarine_brick_slab
Prismarine Brick Stairs, prismarine_brick_stairs
Prismarine Bricks, prismarine_bricks
Prismarine Crystals, prismarine_crystals
Prismarine Shard, prismarine_shard
Prismarine Slab, prismarine_slab
Prismarine Stairs, prismarine_stairs
Prismarine Wall, prismarine_wall
Prize Pottery Sherd, prize_pottery_sherd
Pufferfish, pufferfish
Pufferfish Bucket, pufferfish_bucket
Pufferfish Spawn Egg, pufferfish_spawn_egg
Pumpkin, pumpkin
Pumpkin Pie, pumpkin_pie
Pumpkin Seeds, pumpkin_seeds
Purple Banner, purple_banner
Purple Bed, purple_bed
Purple Bundle, purple_bundle
Purple Candle, purple_candle
Purple Carpet, purple_carpet
Purple Concrete, purple_concrete
Purple Concrete Powder, purple_concrete_powder
Purple Dye, purple_dye
Purple Glazed Terracotta, purple_glazed_terracotta
Purple Harness, purple_harness
Purple Shulker Box, purple_shulker_box
Purple Stained Glass, purple_stained_glass
Purple Stained Glass Pane, purple_stained_glass_pane
Purple Terracotta, purple_terracotta
Purple Wool, purple_wool
Purpur Block, purpur_block
Purpur Pillar, purpur_pillar
Purpur Slab, purpur_slab
Purpur Stairs, purpur_stairs
Quartz, quartz
Quartz Block, quartz_block
Quartz Bricks, quartz_bricks
Quartz Pillar, quartz_pillar
Quartz Slab, quartz_slab
Quartz Stairs, quartz_stairs
Rabbit, rabbit
Rabbit Foot, rabbit_foot
Rabbit Hide, rabbit_hide
Rabbit Spawn Egg, rabbit_spawn_egg
Rabbit Stew, rabbit_stew
Rail, rail
Raiser Armor Trim Smithing Template, raiser_armor_trim_smithing_template
Ravager Spawn Egg, ravager_spawn_egg
Raw Copper, raw_copper
Raw Copper Block, raw_copper_block
Raw Gold, raw_gold
Raw Gold Block, raw_gold_block
Raw Iron, raw_iron
Raw Iron Block, raw_iron_block
Recovery Compass, recovery_compass
Red Banner, red_banner
Red Bed, red_bed
Red Bundle, red_bundle
Red Candle, red_candle
Red Carpet, red_carpet
Red Concrete, red_concrete
Red Concrete Powder, red_concrete_powder
Red Dye, red_dye
Red Glazed Terracotta, red_glazed_terracotta
Red Harness, red_harness
Red Mushroom, red_mushroom
Red Mushroom Block, red_mushroom_block
Red Nether Brick Slab, red_nether_brick_slab
Red Nether Brick Stairs, red_nether_brick_stairs
Red Nether Brick Wall, red_nether_brick_wall
Red Nether Bricks, red_nether_bricks
Red Sand, red_sand
Red Sandstone, red_sandstone
Red Sandstone Slab, red_sandstone_slab
Red Sandstone Stairs, red_sandstone_stairs
Red Sandstone Wall, red_sandstone_wall
Red Shulker Box, red_shulker_box
Red Stained Glass, red_stained_glass
Red Stained Glass Pane, red_stained_glass_pane
Red Terracotta, red_terracotta
Red Tulip, red_tulip
Red Wool, red_wool
Redstone, redstone
Redstone Block, redstone_block
Redstone Lamp, redstone_lamp
Redstone Ore, redstone_ore
Redstone Torch, redstone_torch
Reinforced Deepslate, reinforced_deepslate
Repeater, repeater
Repeating Command Block, repeating_command_block
Resin Block, resin_block
Resin Brick, resin_brick
Resin Brick Slab, resin_brick_slab
Resin Brick Stairs, resin_brick_stairs
Resin Brick Wall, resin_brick_wall
Resin Bricks, resin_bricks
Resin Clump, resin_clump
Respawn Anchor, respawn_anchor
Rib Armor Trim Smithing Template, rib_armor_trim_smithing_template
Rooted Dirt, rooted_dirt
Rose Bush, rose_bush
Rotten Flesh, rotten_flesh
Saddle, saddle
Salmon, salmon
Salmon Bucket, salmon_bucket
Salmon Spawn Egg, salmon_spawn_egg
Sand, sand
Sandstone, sandstone
Sandstone Slab, sandstone_slab
Sandstone Stairs, sandstone_stairs
Sandstone Wall, sandstone_wall
Scaffolding, scaffolding
Scrape Pottery Sherd, scrape_pottery_sherd
Sculk, sculk
Sculk Catalyst, sculk_catalyst
Sculk Sensor, sculk_sensor
Sculk Shrieker, sculk_shrieker
Sculk Vein, sculk_vein
Sea Lantern, sea_lantern
Sea Pickle, sea_pickle
Seagrass, seagrass
Sentry Armor Trim Smithing Template, sentry_armor_trim_smithing_template
Shaper Armor Trim Smithing Template, shaper_armor_trim_smithing_template
Sheaf Pottery Sherd, sheaf_pottery_sherd
Shears, shears
Sheep Spawn Egg, sheep_spawn_egg
Shelter Pottery Sherd, shelter_pottery_sherd
Shield, shield
Short Dry Grass, short_dry_grass
Short Grass, short_grass
Shroomlight, shroomlight
Shulker Box, shulker_box
Shulker Shell, shulker_shell
Shulker Spawn Egg, shulker_spawn_egg
Silence Armor Trim Smithing Template, silence_armor_trim_smithing_template
Silverfish Spawn Egg, silverfish_spawn_egg
Skeleton Horse Spawn Egg, skeleton_horse_spawn_egg
Skeleton Skull, skeleton_skull
Skeleton Spawn Egg, skeleton_spawn_egg
Skull Banner Pattern, skull_banner_pattern
Skull Pottery Sherd, skull_pottery_sherd
Slime Ball, slime_ball
Slime Block, slime_block
Slime Spawn Egg, slime_spawn_egg
Small Amethyst Bud, small_amethyst_bud
Small Dripleaf, small_dripleaf
Smithing Table, smithing_table
Smoker, smoker
Smooth Basalt, smooth_basalt
Smooth Quartz, smooth_quartz
Smooth Quartz Slab, smooth_quartz_slab
Smooth Quartz Stairs, smooth_quartz_stairs
Smooth Red Sandstone, smooth_red_sandstone
Smooth Red Sandstone Slab, smooth_red_sandstone_slab
Smooth Red Sandstone Stairs, smooth_red_sandstone_stairs
Smooth Sandstone, smooth_sandstone
Smooth Sandstone Slab, smooth_sandstone_slab
Smooth Sandstone Stairs, smooth_sandstone_stairs
Smooth Stone, smooth_stone
Smooth Stone Slab, smooth_stone_slab
Sniffer Egg, sniffer_egg
Sniffer Spawn Egg, sniffer_spawn_egg
Snort Pottery Sherd, snort_pottery_sherd
Snout Armor Trim Smithing Template, snout_armor_trim_smithing_template
Snow, snow
Snow Block, snow_block
Snow Golem Spawn Egg, snow_golem_spawn_egg
Snowball, snowball
Soul Campfire, soul_campfire
Soul Lantern, soul_lantern
Soul Sand, soul_sand
Soul Soil, soul_soil
Soul Torch, soul_torch
Spawner, spawner
Spectral Arrow, spectral_arrow
Spider Eye, spider_eye
Spider Spawn Egg, spider_spawn_egg
Spire Armor Trim Smithing Template, spire_armor_trim_smithing_template
Splash Potion, splash_potion
Sponge, sponge
Spore Blossom, spore_blossom
Spruce Boat, spruce_boat
Spruce Button, spruce_button
Spruce Chest Boat, spruce_chest_boat
Spruce Door, spruce_door
Spruce Fence, spruce_fence
Spruce Fence Gate, spruce_fence_gate
Spruce Hanging Sign, spruce_hanging_sign
Spruce Leaves, spruce_leaves
Spruce Log, spruce_log
Spruce Planks, spruce_planks
Spruce Pressure Plate, spruce_pressure_plate
Spruce Sapling, spruce_sapling
Spruce Shelf, spruce_shelf
Spruce Sign, spruce_sign
Spruce Slab, spruce_slab
Spruce Stairs, spruce_stairs
Spruce Trapdoor, spruce_trapdoor
Spruce Wood, spruce_wood
Spyglass, spyglass
Squid Spawn Egg, squid_spawn_egg
Stick, stick
Sticky Piston, sticky_piston
Stone, stone
Stone Axe, stone_axe
Stone Brick Slab, stone_brick_slab
Stone Brick Stairs, stone_brick_stairs
Stone Brick Wall, stone_brick_wall
Stone Bricks, stone_bricks
Stone Button, stone_button
Stone Hoe, stone_hoe
Stone Pickaxe, stone_pickaxe
Stone Pressure Plate, stone_pressure_plate
Stone Shovel, stone_shovel
Stone Slab, stone_slab
Stone Stairs, stone_stairs
Stone Sword, stone_sword
Stonecutter, stonecutter
Stray Spawn Egg, stray_spawn_egg
Strider Spawn Egg, strider_spawn_egg
String, string
Stripped Acacia Log, stripped_acacia_log
Stripped Acacia Wood, stripped_acacia_wood
Stripped Bamboo Block, stripped_bamboo_block
Stripped Birch Log, stripped_birch_log
Stripped Birch Wood, stripped_birch_wood
Stripped Cherry Log, stripped_cherry_log
Stripped Cherry Wood, stripped_cherry_wood
Stripped Crimson Hyphae, stripped_crimson_hyphae
Stripped Crimson Stem, stripped_crimson_stem
Stripped Dark Oak Log, stripped_dark_oak_log
Stripped Dark Oak Wood, stripped_dark_oak_wood
Stripped Jungle Log, stripped_jungle_log
Stripped Jungle Wood, stripped_jungle_wood
Stripped Mangrove Log, stripped_mangrove_log
Stripped Mangrove Wood, stripped_mangrove_wood
Stripped Oak Log, stripped_oak_log
Stripped Oak Wood, stripped_oak_wood
Stripped Pale Oak Log, stripped_pale_oak_log
Stripped Pale Oak Wood, stripped_pale_oak_wood
Stripped Spruce Log, stripped_spruce_log
Stripped Spruce Wood, stripped_spruce_wood
Stripped Warped Hyphae, stripped_warped_hyphae
Stripped Warped Stem, stripped_warped_stem
Structure Block, structure_block
Structure Void, structure_void
Sugar, sugar
Sugar Cane, sugar_cane
Sunflower, sunflower
Suspicious Gravel, suspicious_gravel
Suspicious Sand, suspicious_sand
Suspicious Stew, suspicious_stew
Sweet Berries, sweet_berries
Tadpole Bucket, tadpole_bucket
Tadpole Spawn Egg, tadpole_spawn_egg
Tall Dry Grass, tall_dry_grass
Tall Grass, tall_grass
Target, target
Terracotta, terracotta
Test Block, test_block
Test Instance Block, test_instance_block
Tide Armor Trim Smithing Template, tide_armor_trim_smithing_template
Tinted Glass, tinted_glass
Tipped Arrow, tipped_arrow
Tnt, tnt
Tnt Minecart, tnt_minecart
Torch, torch
Torchflower, torchflower
Torchflower Seeds, torchflower_seeds
Totem Of Undying, totem_of_undying
Trader Llama Spawn Egg, trader_llama_spawn_egg
Trapped Chest, trapped_chest
Trial Key, trial_key
Trial Spawner, trial_spawner
Trident, trident
Tripwire Hook, tripwire_hook
Tropical Fish, tropical_fish
Tropical Fish Bucket, tropical_fish_bucket
Tropical Fish Spawn Egg, tropical_fish_spawn_egg
Tube Coral, tube_coral
Tube Coral Block, tube_coral_block
Tube Coral Fan, tube_coral_fan
Tuff, tuff
Tuff Brick Slab, tuff_brick_slab
Tuff Brick Stairs, tuff_brick_stairs
Tuff Brick Wall, tuff_brick_wall
Tuff Bricks, tuff_bricks
Tuff Slab, tuff_slab
Tuff Stairs, tuff_stairs
Tuff Wall, tuff_wall
Turtle Egg, turtle_egg
Turtle Helmet, turtle_helmet
Turtle Scute, turtle_scute
Turtle Spawn Egg, turtle_spawn_egg
Twisting Vines, twisting_vines
Vault, vault
Verdant Froglight, verdant_froglight
Vex Armor Trim Smithing Template, vex_armor_trim_smithing_template
Vex Spawn Egg, vex_spawn_egg
Villager Spawn Egg, villager_spawn_egg
Vindicator Spawn Egg, vindicator_spawn_egg
Vine, vine
Wandering Trader Spawn Egg, wandering_trader_spawn_egg
Ward Armor Trim Smithing Template, ward_armor_trim_smithing_template
Warden Spawn Egg, warden_spawn_egg
Warped Button, warped_button
Warped Door, warped_door
Warped Fence, warped_fence
Warped Fence Gate, warped_fence_gate
Warped Fungus, warped_fungus
Warped Fungus On A Stick, warped_fungus_on_a_stick
Warped Hanging Sign, warped_hanging_sign
Warped Hyphae, warped_hyphae
Warped Nylium, warped_nylium
Warped Planks, warped_planks
Warped Pressure Plate, warped_pressure_plate
Warped Roots, warped_roots
Warped Shelf, warped_shelf
Warped Sign, warped_sign
Warped Slab, warped_slab
Warped Stairs, warped_stairs
Warped Stem, warped_stem
Warped Trapdoor, warped_trapdoor
Warped Wart Block, warped_wart_block
Water Bucket, water_bucket
Waxed Chiseled Copper, waxed_chiseled_copper
Waxed Copper Bars, waxed_copper_bars
Waxed Copper Block, waxed_copper_block
Waxed Copper Bulb, waxed_copper_bulb
Waxed Copper Chain, waxed_copper_chain
Waxed Copper Chest, waxed_copper_chest
Waxed Copper Door, waxed_copper_door
Waxed Copper Golem Statue, waxed_copper_golem_statue
Waxed Copper Grate, waxed_copper_grate
Waxed Copper Lantern, waxed_copper_lantern
Waxed Copper Trapdoor, waxed_copper_trapdoor
Waxed Cut Copper, waxed_cut_copper
Waxed Cut Copper Slab, waxed_cut_copper_slab
Waxed Cut Copper Stairs, waxed_cut_copper_stairs
Waxed Exposed Chiseled Copper, waxed_exposed_chiseled_copper
Waxed Exposed Copper, waxed_exposed_copper
Waxed Exposed Copper Bars, waxed_exposed_copper_bars
Waxed Exposed Copper Bulb, waxed_exposed_copper_bulb
Waxed Exposed Copper Chain, waxed_exposed_copper_chain
Waxed Exposed Copper Chest, waxed_exposed_copper_chest
Waxed Exposed Copper Door, waxed_exposed_copper_door
Waxed Exposed Copper Golem Statue, waxed_exposed_copper_golem_statue
Waxed Exposed Copper Grate, waxed_exposed_copper_grate
Waxed Exposed Copper Lantern, waxed_exposed_copper_lantern
Waxed Exposed Copper Trapdoor, waxed_exposed_copper_trapdoor
Waxed Exposed Cut Copper, waxed_exposed_cut_copper
Waxed Exposed Cut Copper Slab, waxed_exposed_cut_copper_slab
Waxed Exposed Cut Copper Stairs, waxed_exposed_cut_copper_stairs
Waxed Exposed Lightning Rod, waxed_exposed_lightning_rod
Waxed Lightning Rod, waxed_lightning_rod
Waxed Oxidized Chiseled Copper, waxed_oxidized_chiseled_copper
Waxed Oxidized Copper, waxed_oxidized_copper
Waxed Oxidized Copper Bars, waxed_oxidized_copper_bars
Waxed Oxidized Copper Bulb, waxed_oxidized_copper_bulb
Waxed Oxidized Copper Chain, waxed_oxidized_copper_chain
Waxed Oxidized Copper Chest, waxed_oxidized_copper_chest
Waxed Oxidized Copper Door, waxed_oxidized_copper_door
Waxed Oxidized Copper Golem Statue, waxed_oxidized_copper_golem_statue
Waxed Oxidized Copper Grate, waxed_oxidized_copper_grate
Waxed Oxidized Copper Lantern, waxed_oxidized_copper_lantern
Waxed Oxidized Copper Trapdoor, waxed_oxidized_copper_trapdoor
Waxed Oxidized Cut Copper, waxed_oxidized_cut_copper
Waxed Oxidized Cut Copper Slab, waxed_oxidized_cut_copper_slab
Waxed Oxidized Cut Copper Stairs, waxed_oxidized_cut_copper_stairs
Waxed Oxidized Lightning Rod, waxed_oxidized_lightning_rod
Waxed Weathered Chiseled Copper, waxed_weathered_chiseled_copper
Waxed Weathered Copper, waxed_weathered_copper
Waxed Weathered Copper Bars, waxed_weathered_copper_bars
Waxed Weathered Copper Bulb, waxed_weathered_copper_bulb
Waxed Weathered Copper Chain, waxed_weathered_copper_chain
Waxed Weathered Copper Chest, waxed_weathered_copper_chest
Waxed Weathered Copper Door, waxed_weathered_copper_door
Waxed Weathered Copper Golem Statue, waxed_weathered_copper_golem_statue
Waxed Weathered Copper Grate, waxed_weathered_copper_grate
Waxed Weathered Copper Lantern, waxed_weathered_copper_lantern
Waxed Weathered Copper Trapdoor, waxed_weathered_copper_trapdoor
Waxed Weathered Cut Copper, waxed_weathered_cut_copper
Waxed Weathered Cut Copper Slab, waxed_weathered_cut_copper_slab
Waxed Weathered Cut Copper Stairs, waxed_weathered_cut_copper_stairs
Waxed Weathered Lightning Rod, waxed_weathered_lightning_rod
Wayfinder Armor Trim Smithing Template, wayfinder_armor_trim_smithing_template
Weathered Chiseled Copper, weathered_chiseled_copper
Weathered Copper, weathered_copper
Weathered Copper Bars, weathered_copper_bars
Weathered Copper Bulb, weathered_copper_bulb
Weathered Copper Chain, weathered_copper_chain
Weathered Copper Chest, weathered_copper_chest
Weathered Copper Door, weathered_copper_door
Weathered Copper Golem Statue, weathered_copper_golem_statue
Weathered Copper Grate, weathered_copper_grate
Weathered Copper Lantern, weathered_copper_lantern
Weathered Copper Trapdoor, weathered_copper_trapdoor
Weathered Cut Copper, weathered_cut_copper
Weathered Cut Copper Slab, weathered_cut_copper_slab
Weathered Cut Copper Stairs, weathered_cut_copper_stairs
Weathered Lightning Rod, weathered_lightning_rod
Weeping Vines, weeping_vines
Wet Sponge, wet_sponge
Wheat, wheat
Wheat Seeds, wheat_seeds
White Banner, white_banner
White Bed, white_bed
White Bundle, white_bundle
White Candle, white_candle
White Carpet, white_carpet
White Concrete, white_concrete
White Concrete Powder, white_concrete_powder
White Dye, white_dye
White Glazed Terracotta, white_glazed_terracotta
White Harness, white_harness
White Shulker Box, white_shulker_box
White Stained Glass, white_stained_glass
White Stained Glass Pane, white_stained_glass_pane
White Terracotta, white_terracotta
White Tulip, white_tulip
White Wool, white_wool
Wild Armor Trim Smithing Template, wild_armor_trim_smithing_template
Wildflowers, wildflowers
Wind Charge, wind_charge
Witch Spawn Egg, witch_spawn_egg
Wither Rose, wither_rose
Wither Skeleton Skull, wither_skeleton_skull
Wither Skeleton Spawn Egg, wither_skeleton_spawn_egg
Wither Spawn Egg, wither_spawn_egg
Wolf Armor, wolf_armor
Wolf Spawn Egg, wolf_spawn_egg
Wooden Axe, wooden_axe
Wooden Hoe, wooden_hoe
Wooden Pickaxe, wooden_pickaxe
Wooden Shovel, wooden_shovel
Wooden Sword, wooden_sword
Writable Book, writable_book
Written Book, written_book
Yellow Banner, yellow_banner
Yellow Bed, yellow_bed
Yellow Bundle, yellow_bundle
Yellow Candle, yellow_candle
Yellow Carpet, yellow_carpet
Yellow Concrete, yellow_concrete
Yellow Concrete Powder, yellow_concrete_powder
Yellow Dye, yellow_dye
Yellow Glazed Terracotta, yellow_glazed_terracotta
Yellow Harness, yellow_harness
Yellow Shulker Box, yellow_shulker_box
Yellow Stained Glass, yellow_stained_glass
Yellow Stained Glass Pane, yellow_stained_glass_pane
Yellow Terracotta, yellow_terracotta
Yellow Wool, yellow_wool
Zoglin Spawn Egg, zoglin_spawn_egg
Zombie Head, zombie_head
Zombie Horse Spawn Egg, zombie_horse_spawn_egg
Zombie Spawn Egg, zombie_spawn_egg
Zombie Villager Spawn Egg, zombie_villager_spawn_egg
Zombified Piglin Spawn Egg, zombified_piglin_spawn_egg
